0.00,5936.976407
0.373283562,7810.773001
0.746567124,9190.910293
1.119850687,10185.13806
1.493134249,11083.01598
1.866417811,11904.60416
2.239701373,12697.3283
2.612984935,13500.23707
2.986268497,14390.5627
3.35955206,15370.1852
3.732835622,16343.70706
4.106119184,17343.52018
4.479402746,18357.04996
4.852686308,19353.01513
5.22596987,20351.8607
5.599253433,21347.24446
5.972536995,22323.60628
6.345820557,23275.55121
6.719104119,24227.3294
7.092387681,25192.62803
7.465671243,26103.10869
7.838954806,26964.69084
8.212238368,27773.2123
8.58552193,28514.02694
8.958805492,29192.22736
9.332089054,29794.87704
9.705372616,30281.47083
10.07865618,30693.24066
10.45193974,31036.71952
10.8252233,31368.01257
11.19850687,31682.45723
11.57179043,31920.16924
11.94507399,32055.68736
12.31835755,32054.00952
12.69164111,32030.97514
13.06492468,31842.29905
13.43820824,31548.28215
13.8114918,31224.53751
14.18477536,30925.63037
14.55805892,30599.35454
14.93134249,30033.83676
15.30462605,29354.56394
15.67790961,28497.35789
16.05119317,27486.2156
16.42447674,26349.8697
16.7977603,25062.87966
17.17104386,23616.13641
17.54432742,22053.29515
17.91761098,20408.88705
18.29089455,18761.51229
18.66417811,17207.57662
19.03746167,15887.95128
19.41074523,14910.25949
19.7840288,14430.8214
20.15731236,14577.95337
20.53059592,15283.52005
20.90387948,16484.50552
21.27716304,17673.15462
21.65044661,18770.76398
22.02373017,19731.15916
22.39701373,20518.2976
22.77029729,21062.01634
23.14358085,21381.74078
23.51686442,21438.86411
23.89014798,21182.72932
24.26343154,20640.90422
24.6367151,20008.04404
25.00999867,19527.53319
25.38328223,19395.71537
25.75656579,19796.3691
26.12984935,20808.35563
26.50313291,22512.40473
26.87641648,24596.82039
27.24970004,26844.74464
27.6229836,29187.1245
27.99626716,31601.44003
28.36955072,34068.87674
28.74283429,36429.7453
29.11611785,38672.19079
29.48940141,40806.45616
29.86268497,42807.91173
30.23596854,44706.11262
30.6092521,46526.9115
30.98253566,48247.59107
31.35581922,49915.50359
31.72910278,51638.06033
32.10238635,53587.31202
32.47566991,55454.56822
32.84895347,56916.01802
33.22223703,57844.30225
33.5955206,58160.60227
33.96880416,57829.18048
34.34208772,56840.98505
34.71537128,56256.83905
35.08865484,56640.30963
35.46193841,57004.00432
35.83522197,57491.14435
36.20850553,58191.023
